"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"134",0.34,1992,32841.962648,33060.8047699917,32841.962648,33060.8047699917
"135",0.35,1992,35718.382979,35885.3816019917,35718.382979,35885.3816019917
"136",0.36,1992,37899.385343,38152.8262932396,37899.385343,38152.8262932396
"137",0.37,1992,40402.174941,40625.7477857438,40402.174941,40625.7477857438
"138",0.38,1992,43941.834515,44287.6038239917,43941.834515,44287.6038239917
"139",0.39,1992,47106.07565,47281.9033202479,47106.07565,47281.9033202479
"140",0.4,1992,51182.047281,51418.7664719917,51182.047281,51418.7664719917
"141",0.41,1992,54900.477541,54986.9198682479,54900.477541,54986.9198682479
"142",0.42,1992,58458.014184,58625.0128079917,58458.014184,58625.0128079917
"143",0.43,1992,61658.009456,61827.9510947438,61658.009456,61827.9510947438
"144",0.44,1992,64947.390071,65209.6600684958,64947.390071,65209.6600684958
"145",0.45,1992,67932.86052,68196.9182244959,67932.86052,68196.9182244959
"146",0.46,1992,72044.586288,72303.9132697438,72044.586288,72303.9132697438
"147",0.47,1992,76478.099291,76686.7380824959,76478.099291,76686.7380824959
"148",0.48,1992,80448.596217,80621.4808714958,80448.596217,80621.4808714958
"149",0.49,1992,84361.886525,84549.7052327438,84361.886525,84549.7052327438
"150",0.5,1992,88849.030733,89016.0293559917,88849.030733,89016.0293559917
"151",0.51,1992,93318.297872,93616.3220064958,93318.297872,93616.3220064958
"152",0.52,1992,98306,98565.3269817438,98306,98565.3269817438
"153",0.53,1992,102203.20095,102376.085604496,102203.20095,102376.085604496
"154",0.54,1992,105975.26241,106148.147064496,105975.26241,106148.147064496
"155",0.55,1992,111159.61229,111448.80737624,111159.61229,111448.80737624
"156",0.56,1992,117166.30733,117491.25655624,117166.30733,117491.25655624
"157",0.57,1992,122994.23168,123253.558661744,122994.23168,123253.558661744
"158",0.58,1992,127785.28605,128044.613031744,127785.28605,128044.613031744
"159",0.59,1992,135329.40898,135588.735961744,135329.40898,135588.735961744
"160",0.6,1992,140692.52955,140921.988427248,140692.52955,140921.988427248
"161",0.61,1992,146609.83924,146854.232174496,146609.83924,146854.232174496
"162",0.62,1992,154726.02837,154901.856037248,154726.02837,154901.856037248
"163",0.63,1992,159820.99291,159907.435237248,159820.99291,159907.435237248
"164",0.64,1992,166632.15603,166805.040684496,166632.15603,166805.040684496
"165",0.65,1992,174355.04965,174441.491977248,174355.04965,174441.491977248
"166",0.66,1992,181952.80378,182298.573088992,181952.80378,182298.573088992
"167",0.67,1992,189639.94326,189985.712568992,189639.94326,189985.712568992
"168",0.68,1992,195932.67139,196253.303317248,195932.67139,196253.303317248
"169",0.69,1992,203441.04019,203613.924844496,203441.04019,203613.924844496
"170",0.7,1992,210234.32624,210320.768567248,210234.32624,210320.768567248
"171",0.71,1992,220603.026,220775.910654496,220603.026,220775.910654496
"172",0.72,1992,229362.7896,229622.116581744,229362.7896,229622.116581744
"173",0.73,1992,239016.40662,239189.291274496,239016.40662,239189.291274496
"174",0.74,1992,252638.73286,252865.248724496,252638.73286,252865.248724496
"175",0.75,1992,264580.61466,264753.499314496,264580.61466,264753.499314496
"176",0.76,1992,276433.11111,276731.135244496,276433.11111,276731.135244496
"177",0.77,1992,290502.36407,290588.806397248,290502.36407,290588.806397248
"178",0.78,1992,302837.54137,303010.426024496,302837.54137,303010.426024496
"179",0.79,1992,316602.88416,316897.965281744,316602.88416,316897.965281744
"180",0.8,1992,330546.99764,330719.882294496,330546.99764,330719.882294496
"181",0.81,1992,345045.30024,345131.742567248,345045.30024,345131.742567248
"182",0.82,1992,357112.32151,357270.272117248,357112.32151,357270.272117248
"183",0.83,1992,375418.43972,375591.324374496,375418.43972,375591.324374496
"184",0.84,1992,395851.92908,396370.583043488,395851.92908,396370.583043488
"185",0.85,1992,422560.2695,422819.596481744,422560.2695,422819.596481744
"186",0.86,1992,449429.50355,449602.388204496,449429.50355,449602.388204496
"187",0.87,1992,485666.32151,485857.083234496,485666.32151,485857.083234496
"188",0.88,1992,515217.11584,515390.000494496,515217.11584,515390.000494496
"189",0.89,1992,564361.1773,564447.619627248,564361.1773,564447.619627248
"190",0.9,1992,639820.28369,639993.168344496,639820.28369,639993.168344496
"191",0.91,1992,693809.03073,693981.915384496,693809.03073,693981.915384496
"192",0.92,1992,753875.98109,754308.19272624,753875.98109,754308.19272624
"193",0.93,1992,861710.45863,861796.900957248,861710.45863,861796.900957248
"194",0.94,1992,996342.66194,996634.800038992,996342.66194,996634.800038992
"195",0.95,1992,1194188.1797,1194620.39133624,1194188.1797,1194620.39133624
"196",0.96,1992,1374853.8345,1375113.16148174,1374853.8345,1375113.16148174
"197",0.97,1992,1827215.1773,1827301.61962725,1827215.1773,1827301.61962725
"198",0.98,1992,2510834.279,2511007.1636545,2510834.279,2511007.1636545
"199",0.99,1992,4152379.60566476,4152552.49031926,4152379.60566476,4152552.49031926
"200",0.01,1995,-21283.77483,-20989.042695277,-21283.77483,-20989.042695277
"201",0.02,1995,-12069.15232,-11513.0743605541,-12069.15232,-11513.0743605541
"202",0.03,1995,-7845.783664,-7649.29557418469,-7845.783664,-7649.29557418469
"203",0.04,1995,-4490.459161,-4195.72702627703,-4490.459161,-4195.72702627703
"204",0.05,1995,-2503.97351,-2357.56489018469,-2503.97351,-2357.56489018469
"205",0.06,1995,-1001.589404,-883.36331373875,-1001.589404,-883.36331373875
"206",0.07,1995,-16.69315673,98.2440449076563,-16.69315673,98.2440449076563
"207",0.08,1995,0,98.2440449076563,0,98.2440449076563
"208",0.09,1995,0,294.732134722969,0,294.732134722969
"209",0.1,1995,100.1589404,394.891075122969,100.1589404,394.891075122969
"210",0.11,1995,534.18101545,765.970314227656,534.18101545,765.970314227656
"211",0.12,1995,1251.986755,1517.16236720766,1251.986755,1517.16236720766
"212",0.13,1995,1837.9165563,2064.20674842297,1837.9165563,2064.20674842297
"213",0.14,1995,2720.9845475,2963.72231653062,2720.9845475,2963.72231653062
"214",0.15,1995,3689.187638,3804.12483960766,3689.187638,3804.12483960766
"215",0.16,1995,4640.6975717,4989.33896760766,4640.6975717,4989.33896760766
"216",0.17,1995,5842.6048565,5940.84890140766,5842.6048565,5940.84890140766
"217",0.18,1995,6844.1942605,7109.36987270766,6844.1942605,7109.36987270766
"218",0.19,1995,7645.4657837,7890.11844822297,7645.4657837,7890.11844822297
"219",0.2,1995,8680.4415011,8906.48611343062,8680.4415011,8906.48611343062
