"","NETWORTH","WGT","Black","White","RACE","Forbes_indicator"
"246846",-55098,4073.7888047,0,1,"White",0
"246847",-49998,4003.7037873,0,1,"White",0
"246848",-53398,4090.717514,0,1,"White",0
"246849",-53998,4082.2374338,0,1,"White",0
"246850",-53998,4034.519447,0,1,"White",0
"246851",11720,274.83930654,0,1,"White",0
"246852",11720,275.34196269,0,1,"White",0
"246853",11730,275.15903322,0,1,"White",0
"246854",11730,274.22038807,0,1,"White",0
"246855",11720,275.43099973,0,1,"White",0
"246856",88640,6484.7954726,0,1,"White",0
"246857",88070,6510.0956068,0,1,"White",0
"246858",118770,6538.7968064,0,1,"White",0
"246859",106260,6484.8958744,0,1,"White",0
"246860",91520,6509.5063791,0,1,"White",0
"246861",141400,9407.9572657,0,1,"White",0
"246862",140400,9335.0454162,0,1,"White",0
"246863",141400,9357.2059022,0,1,"White",0
"246864",141400,9423.2910824,0,1,"White",0
"246865",141400,9376.8762715,0,1,"White",0
"246866",2311800,1464.0242215,0,1,"White",0
"246867",2311800,1474.6040484,0,1,"White",0
"246868",2311800,1457.8245663,0,1,"White",0
"246869",2311800,1429.2420408,0,1,"White",0
"246870",2311800,1371.2244667,0,1,"White",0
"246871",1712400,1376.5609609,0,0,"Hispanic",0
"246872",1734400,1299.8656269,0,0,"Hispanic",0
"246873",1711400,1329.9145372,0,0,"Hispanic",0
"246874",1727400,1322.4029716,0,0,"Hispanic",0
"246875",1700800,1266.4627258,0,0,"Hispanic",0
"246876",198647600,37.221591263,0,1,"White",0
"246877",52497500,37.812187936,0,1,"White",0
"246878",103757600,36.894243345,0,1,"White",0
"246879",103292500,36.458431026,0,1,"White",0
"246880",175541600,36.840177603,0,1,"White",0
"246881",394200,5263.3085827,0,1,"White",0
"246882",393300,5564.4261505,0,1,"White",0
"246883",394600,5511.0804258,0,1,"White",0
"246884",394000,5456.4110886,0,1,"White",0
"246885",394200,5583.2193902,0,1,"White",0
"246886",56640,9407.0972395,0,1,"White",0
"246887",55740,9339.8882582,0,1,"White",0
"246888",55790,9347.5522202,0,1,"White",0
"246889",55740,9420.1356235,0,1,"White",0
"246890",56740,9379.9575013,0,1,"White",0
"246891",3140,3768.0740131,1,0,"Black",0
"246892",3130,3771.4038205,1,0,"Black",0
"246893",3050,3735.5791265,1,0,"Black",0
"246894",3140,3747.1752031,1,0,"Black",0
"246895",3150,3754.8208295,1,0,"Black",0
"246896",19756800,416.20723123,0,1,"White",0
"246897",19758500,401.34311942,0,1,"White",0
"246898",19756700,410.94645585,0,1,"White",0
"246899",19756800,416.36923985,0,1,"White",0
"246900",19744400,420.49511301,0,1,"White",0
"246901",2897400,774.37589655,0,1,"White",0
"246902",2903400,763.67560148,0,1,"White",0
"246903",2950000,731.27332924,0,1,"White",0
"246904",2971600,758.36155229,0,1,"White",0
"246905",2901600,755.4364778,0,1,"White",0
"246906",410100,325.97189749,0,1,"White",0
"246907",412000,349.70166986,0,1,"White",0
"246908",411100,343.50822063,0,1,"White",0
"246909",411100,328.57460607,0,1,"White",0
"246910",411000,331.95480842,0,1,"White",0
"246911",137069010,41.158685254,0,1,"White",0
"246912",135968040,41.057925385,0,1,"White",0
"246913",136663800,40.801088327,0,1,"White",0
"246914",116129600,40.979653319,0,1,"White",0
"246915",138629850,41.076630757,0,1,"White",0
"246916",1262300,3553.6882726,0,1,"White",0
"246917",1262400,3756.607063,0,1,"White",0
"246918",1262300,3720.9242274,0,1,"White",0
"246919",1262400,3684.4456473,0,1,"White",0
"246920",1262300,3769.5490049,0,1,"White",0
"246921",-49290,1081.1184942,0,1,"White",0
"246922",-43095,1061.4525582,0,1,"White",0
"246923",-37390,1084.2689069,0,1,"White",0
"246924",-42195,1115.6605329,0,1,"White",0
"246925",-38395,1077.7348969,0,1,"White",0
"246926",4633500,2122.5328364,0,1,"White",0
"246927",4644600,2122.6491509,0,1,"White",0
"246928",4636600,1959.9510938,0,1,"White",0
"246929",4636600,2165.2781369,0,1,"White",0
"246930",4638500,2125.529783,0,1,"White",0
"246931",15150,7119.4580293,0,0,"Other",0
"246932",15050,7188.3484475,0,0,"Other",0
"246933",15150,7125.1706152,0,0,"Other",0
"246934",14950,7079.1090358,0,0,"Other",0
"246935",15050,7171.5082351,0,0,"Other",0
"246936",165600,6698.4290867,0,1,"White",0
"246937",165600,6609.9990254,0,1,"White",0
"246938",165700,6633.2920731,0,1,"White",0
"246939",165600,6666.8927301,0,1,"White",0
"246940",165600,6641.2876889,0,1,"White",0
"246941",373400,8688.159289,0,1,"White",0
"246942",373400,8657.5234337,0,1,"White",0
"246943",374400,8694.2713582,0,1,"White",0
"246944",373400,8678.7902729,0,1,"White",0
"246945",373400,8704.6353525,0,1,"White",0
"246946",7401000,271.99568838,0,0,"Hispanic",0
"246947",7412000,280.41025995,0,0,"Hispanic",0
"246948",5122000,262.86049066,0,0,"Hispanic",0
"246949",5371000,275.35864677,0,0,"Hispanic",0
"246950",6072000,274.49296203,0,0,"Hispanic",0
"246951",69900,7659.9149352,0,1,"White",0
