"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"230",0.32,1995,31850.543046,36440.0236276453,31850.543046,36440.0236276453
"231",0.33,1995,34738.459161,39628.9853233227,34738.459161,39628.9853233227
"232",0.34,1995,37709.84106,42132.9588333227,37709.84106,42132.9588333227
"233",0.35,1995,40230.507726,45085.9412942907,40230.507726,45085.9412942907
"234",0.36,1995,43285.355408,48059.0294733227,43285.355408,48059.0294733227
"235",0.37,1995,45572.317881,50944.101786936,45572.317881,50944.101786936
"236",0.38,1995,49244.812362,53884.3724136453,49244.812362,53884.3724136453
"237",0.39,1995,52516.671082,57407.1972443227,52516.671082,57407.1972443227
"238",0.4,1995,56556.415011,61629.428376968,56556.415011,61629.428376968
"239",0.41,1995,60896.635762,65402.081798968,60896.635762,65402.081798968
"240",0.42,1995,65153.390728,69760.1332263227,65153.390728,69760.1332263227
"241",0.43,1995,68775.80574,74016.8881933227,68775.80574,74016.8881933227
"242",0.44,1995,72481.686534,77355.5195403227,72481.686534,77355.5195403227
"243",0.45,1995,75953.863135,81243.887537968,75953.863135,81243.887537968
"244",0.46,1995,80527.788079,85267.5070716453,80527.788079,85267.5070716453
"245",0.47,1995,84300.441501,88940.0015526453,84300.441501,88940.0015526453
"246",0.48,1995,87639.072848,92511.768332968,87639.072848,92511.768332968
"247",0.49,1995,91612.04415,96535.3878656453,91612.04415,96535.3878656453
"248",0.5,1995,96486.445916,100894.539849323,96486.445916,100894.539849323
"249",0.51,1995,100643.04194,106099.429153291,100643.04194,106099.429153291
"250",0.52,1995,105901.38631,110089.662371968,105901.38631,110089.662371968
"251",0.53,1995,110375.15232,115065.360597323,110375.15232,115065.360597323
"252",0.54,1995,114164.4989,119604.761711968,114164.4989,119604.761711968
"253",0.55,1995,118354.48124,123510.391629291,118354.48124,123510.391629291
"254",0.56,1995,122861.63355,127734.329041968,122861.63355,127734.329041968
"255",0.57,1995,128537.30684,132809.580476613,128537.30684,132809.580476613
"256",0.58,1995,132877.52759,137948.834683936,132877.52759,137948.834683936
"257",0.59,1995,137601.69095,143359.692504645,137601.69095,143359.692504645
"258",0.6,1995,145364.00883,149703.092064645,145364.00883,149703.092064645
"259",0.61,1995,151039.68212,155545.696914645,151039.68212,155545.696914645
"260",0.62,1995,156665.27594,160753.393061968,156665.27594,160753.393061968
"261",0.63,1995,162259.15276,166210.917786613,162259.15276,166210.917786613
"262",0.64,1995,168600.883,172806.420974645,168600.883,172806.420974645
"263",0.65,1995,174743.96468,179015.706521968,174743.96468,179015.706521968
"264",0.66,1995,182205.80574,186476.978819291,182205.80574,186476.978819291
"265",0.67,1995,188966.53422,193206.027267323,188966.53422,193206.027267323
"266",0.68,1995,196812.31788,202252.011939291,196812.31788,202252.011939291
"267",0.69,1995,205759.84989,210197.385776613,205759.84989,210197.385776613
"268",0.7,1995,213839.33775,218078.830797323,213839.33775,218078.830797323
"269",0.71,1995,221468.11038,226340.237099291,221468.11038,226340.237099291
"270",0.72,1995,235373.50993,239446.071417323,235373.50993,239446.071417323
"271",0.73,1995,244220.883,248343.523957323,244220.883,248343.523957323
"272",0.74,1995,257909.27152,261647.969867323,257909.27152,261647.969867323
"273",0.75,1995,268743.13024,272164.658617323,268743.13024,272164.658617323
"274",0.76,1995,279027.78411,284400.742497323,279027.78411,284400.742497323
"275",0.77,1995,289492.72406,294265.829364645,289492.72406,294265.829364645
"276",0.78,1995,299976.02649,304849.290734645,299976.02649,304849.290734645
"277",0.79,1995,312829.75717,316667.476941968,312829.75717,316667.476941968
"278",0.8,1995,329189.05077,333126.360719291,329189.05077,333126.360719291
"279",0.81,1995,342627.04194,347649.407079291,342627.04194,347649.407079291
"280",0.82,1995,360906.04857,365145.541617323,360906.04857,365145.541617323
"281",0.83,1995,377148.49007,381720.708731968,377148.49007,381720.708731968
"282",0.84,1995,401971.21413,407644.043616613,401971.21413,407644.043616613
"283",0.85,1995,431017.30684,436424.183341968,431017.30684,436424.183341968
"284",0.86,1995,468443.36424,472446.878056613,468443.36424,472446.878056613
"285",0.87,1995,508156.38411,513130.907851968,508156.38411,513130.907851968
"286",0.88,1995,545382.12362,550004.990514645,545382.12362,550004.990514645
"287",0.89,1995,584761.28035,590785.234889291,584761.28035,590785.234889291
"288",0.9,1995,637161.09934,640916.490847323,637161.09934,640916.490847323
"289",0.91,1995,697940.883,702145.852221968,697940.883,702145.852221968
"290",0.92,1995,791672.95806,796012.610047323,791672.95806,796012.610047323
"291",0.93,1995,867376.42384,873083.777161968,867376.42384,873083.777161968
"292",0.94,1995,984896.24724,991205.122964645,984896.24724,991205.122964645
